"alpha_3","PD","SR","mpd.obs","mntd.obs"
"ARM",1273.428389,21,184.4393974190476,94.09977542857142
"BGD",1919.759808003,29,227.62896529084728,91.21140600010344
"BTN",982.206735,12,225.44363819696972,119.44337325
"BRN",501.646417,5,235.0954872,131.784726
"KHM",1961.119147,22,244.7920856883117,145.24365090909092
"CHN",7960.632610521,240,235.3504159591708,39.781172991841665
"CYP",2502.088177003,23,277.9843070279288,161.64423143504348
"GEO",1093.576661,17,228.7667731470588,63.705436647058825
"IND",10049.364323528,255,234.6573069334603,53.395906737447056
"IDN",9057.321308515,171,271.33156293137597,73.38761720487135
"IRN",2809.455183,31,297.8227778666667,127.24452532258064
"IRQ",1177.320787,6,417.05404173333335,266.43580499999996
"ISR",2761.914714,61,226.34387841420764,57.60713295081967
"JPN",10231.104556513,231,250.0810360453977,56.42316467976623
"JOR",874.630727003,10,224.1006114006,126.3622858006
"PRK",1464.869800003,23,227.3965836919605,77.68142939143478
"KOR",1006.409722,5,405.5424976000001,316.0803546
"KGZ",2572.221867,52,224.6244203250377,58.95493792307692
"LAO",801.67386,12,229.1474267121212,43.43563941666667
"LBN",499.508425,4,253.00024216666665,234.00420974999997
"MYS",2247.456311,20,294.01533218421054,167.9455376
"MDV",2067.128778003,23,242.9768914469012,141.4207437393913
"MMR",2698.105934006,43,237.86299378543964,86.5753709305814
"NPL",2029.132919,35,216.8027529815126,77.93185577142857
"OMN",823.387965,8,237.27850028571427,161.38584550000002
"PAK",3054.453038,34,268.8344389090909,122.9008785
"PHL",1846.895135,13,328.10254535897434,200.76031438461536
"QAT",247.468474,2,247.468474,247.468474
"SAU",665.609263,8,225.6914157142857,89.51439549999999
"SGP",1135.372847,14,237.97447319780215,106.70857964285712
"LKA",2700.478714,35,258.15894745210085,99.48578445714286
"SYR",271.516129,2,271.516129,271.516129
"TJK",1451.302532,14,268.3772360659341,137.91366242857143
"THA",2155.147504,22,284.4613487705628,134.70044390909092
"TLS",5619.088159022,119,240.61821096661387,65.41377160535293
"TUR",6029.056501015,123,250.82112615351593,56.448331699430895
"TKM",349.858404,3,233.238936,229.320664
"ARE",395.250366,3,263.500244,255.484359
"UZB",2522.5087360000002,51,229.96674901333333,57.178097666666666
"VNM",2181.940581,19,300.558301380117,160.76105231578947
"YEM",933.646821,16,190.46033625833337,69.7459935
