"alpha_3","mpd.obs"
"ARM",184.43939741904762
"BGD",227.62896529084728
"BTN",225.44363819696972
"BRN",235.09548719999998
"KHM",244.7920856883117
"CHN",235.35041595917082
"CYP",277.9843070279288
"GEO",228.7667731470588
"IND",234.6573069334603
"IDN",271.33156293137597
"IRN",297.8227778666667
"IRQ",417.05404173333335
"ISR",226.34387841420764
"JPN",250.0810360453977
"JOR",224.1006114006
"PRK",227.3965836919605
"KOR",405.54249760000005
"KGZ",224.6244203250377
"LAO",229.14742671212122
"LBN",253.00024216666665
"MYS",294.01533218421054
"MDV",242.9768914469012
"MMR",237.86299378543964
"NPL",216.8027529815126
"OMN",237.27850028571427
"PAK",268.8344389090909
"PHL",328.10254535897434
"QAT",247.468474
"SAU",225.6914157142857
"SGP",237.97447319780218
"LKA",258.15894745210085
"SYR",271.516129
"TJK",268.3772360659341
"THA",284.4613487705628
"TLS",240.61821096661387
"TUR",250.82112615351593
"TKM",233.23893600000002
"ARE",263.500244
"UZB",229.96674901333333
"VNM",300.558301380117
"YEM",190.46033625833334
