"alpha_3","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"ARM",21,94.09977542857142,136.49326677206201,25.349033781418175,37,-1.6723908180897478,0.037,999
"BGD",29,91.21140600010344,122.20300271895651,19.437680604848225,41,-1.5944081677688966,0.041,999
"BTN",12,119.44337325,158.57135241069278,33.23346475490184,107,-1.1773668333790424,0.107,999
"BRN",5,131.784726,204.35933035546546,51.64413396573489,77,-1.4052826290710503,0.077,999
"KHM",22,145.24365090909092,132.84719778897707,24.26016853321793,698,0.5109796786094112,0.698,999
"CHN",240,39.781172991841665,61.368695464369964,3.8748858369679344,1,-5.571137674967052,0.001,999
"CYP",23,161.64423143504348,129.7805769921145,24.049715418682297,907,1.3249077541340326,0.907,999
"GEO",17,63.705436647058825,144.02293207134682,28.944900275139126,1,-2.7748409792682187,0.001,999
"IND",255,53.395906737447056,60.4460585279432,3.645012740395758,22,-1.9341912614908097,0.022,999
"IDN",171,73.38761720487135,69.66282356935758,5.360398878446247,766,0.6948724749739934,0.766,999
"IRN",31,127.24452532258064,120.75918760016793,19.938545517038325,639,0.32526633985767495,0.639,999
"IRQ",6,266.43580499999996,192.71985468947247,47.680092346234645,945,1.5460530104520431,0.945,999
"ISR",61,57.60713295081967,99.41232450948603,12.171309041123525,1,-3.434732567993964,0.001,999
"JPN",231,56.42316467976623,62.87823922133475,4.061451033471387,58,-1.5893518076103126,0.058,999
"JOR",10,126.36228580059999,167.3468018976167,38.43553772707887,137,-1.0663182700353382,0.137,999
"PRK",23,77.68142939143478,129.80449419748012,21.868087435896374,5,-2.3835218767456343,0.005,999
"KOR",5,316.0803546,201.53193846156475,53.509414290993924,951,2.140715192947173,0.951,999
"KGZ",52,58.95493792307692,103.69659406120981,13.722782223507572,1,-3.260392492528882,0.001,999
"LAO",12,43.43563941666667,158.86550908906565,33.345812476348584,1,-3.461600156069693,0.001,999
"LBN",4,234.00420974999997,210.56613702248774,56.284293537855326,600,0.4164229708550647,0.6,999
"MYS",20,167.9455376,136.11677555546342,25.462287504086927,880,1.25003545103431,0.88,999
"MDV",23,141.4207437393913,131.41982533580727,23.606237000541945,669,0.42365576535364047,0.669,999
"MMR",43,86.5753709305814,109.9739444901194,15.330164167464583,45,-1.5263093926415419,0.045,999
"NPL",35,77.93185577142857,115.66674149606646,17.15656505914989,8,-2.199442930128559,0.008,999
"OMN",8,161.38584550000002,177.47198670959483,42.07594965292913,366,-0.3823120177270906,0.366,999
"PAK",34,122.90087849999999,117.87034037849699,18.378504086663852,612,0.2737185843734339,0.612,999
"PHL",13,200.76031438461538,155.84368980883107,34.35016132588752,895,1.3076102947421537,0.895,999
"QAT",2,247.468474,255.6692293374855,108.63310289688279,492,-0.07549039030275939,0.492,999
"SAU",8,89.51439549999999,176.2672874904088,42.47542511955708,17,-2.0424255141937335,0.017,999
"SGP",14,106.70857964285713,154.16639504049235,32.49800560623259,56,-1.4603300883342079,0.056,999
"LKA",35,99.48578445714286,117.54832129621379,17.620565909909722,154,-1.0250826750639517,0.154,999
"SYR",2,271.516129,250.5732764045956,103.30498265756493,739.5,0.20272838789224426,0.7395,999
"TJK",14,137.91366242857143,154.594553805292,32.18542233039167,307,-0.5182747395851117,0.307,999
"THA",22,134.70044390909092,132.38254704647844,23.646272304888363,571,0.09802377443371105,0.571,999
"TLS",119,65.41377160535293,79.3339778823939,7.0382713262669645,24,-1.9777876742390539,0.024,999
"TUR",123,56.448331699430895,79.69606430685799,6.977605426018136,1,-3.331763719504805,0.001,999
"TKM",3,229.32066400000002,222.02328856534,65.0233738111874,423,0.11222695789132499,0.423,999
"ARE",3,255.48435899999998,223.87634409855255,62.29131372367871,835,0.5074225122568304,0.835,999
"UZB",51,57.178097666666666,105.04492483047461,14.320326806998459,1,-3.342579244798732,0.001,999
"VNM",19,160.76105231578947,140.30244488519645,26.951655643680798,790,0.75908536755848,0.79,999
"YEM",16,69.7459935,146.41878535562918,28.477738838043315,1,-2.6923763958816234,0.001,999
